"","term","content","mycoID","internal_variable_num"
"1","MUSHROOM_ID","1",1,1
"2","FAMILY","  Agaricaceae, Order Agaricales, Class Agaricomycetes, Phylum Basidiomycota",1,2
"3","LATIN NAME(S)","  Abstoma reticulatum  G. Cunn.^  Proc. R. Soc. N.S.W. 52(3): 242. 1927",1,3
"4","ENGLISH NAME(S)",NA,1,4
"5","NOTES","  Features include 1) a fruitbody up to 6cm across with a fragile whitish or brownish outer peridium that is intermixed with earth or sand, 2) inner peridium that is tough, dark brown, and smooth, 3) yellowish spore mass that becomes olivaceous with purplish tints, 4) release of spores from an irregular rupture, 5) round, reticulate spores, and 6) thin-walled, tinted capillitium. RANGE There is a collection of Abstoma reticulatum Cunn. from Idaho by E. Trueblood at University of Michigan (as well as a collection from California), Zeller examined A. reticulatum from California.. NYBG has collections of A. reticulatum from California and Colorado.",1,5
"6","CHEMICAL REACTIONS",NA,1,6
"7","OUTER SURFACE","  up to 6cm across, depressed-spherical; peridium of two layers: exoperidium very thin or up to 0.2cm thick, ""fragile, fugacious, whitish or brownish, composed of hyphae intermixed with particles of earth or sand, sometimes merely a meshy hyphal layer covering the endoperidium""",1,7
"8","INNER LAYER","  endoperidium tough, membranous, dehiscing by irregular rupture; dark colored, mostly umber or sepia brown; smooth,",1,8
"9","SPORE MASS","  ""at first yellowish, then olivaceous with purplish tints, powdery""; capillitium tinted",1,9
"10","STEM",NA,1,10
"11","ODOR",NA,1,11
"12","TASTE",NA,1,12
"13","EDIBILITY",NA,1,13
"14","HABITAT","  under or on duff under cypress or fir, January to July, (Zeller for CA)",1,14
"15","SPORE DEPOSIT",NA,1,15
"16","MICROSCOPIC","  spores 8-12 x 8-12 microns, round, dark brown, distinctly reticulate^; capillitium thin-walled",1,16
"17","NAME ORIGIN",NA,1,17
"18","SIMILAR","  The New York Botanical Garden (NYBG) has collections of Abstoma verrucisporum from California, and Abstoma longii from New Mexico.",1,18
"19","SOURCES","  Zeller(5)",2,1
"20","MUSHROOM_ID","2",2,2
"21","FAMILY","  Agaricaceae, Order Agaricales, Class Agaricomycetes, Phylum Basidiomycota",2,3
"22","LATIN NAME(S)","  Abstoma townei  (Lloyd) Zeller^  Mycologia 39: 306. 1947",2,4
"23","ENGLISH NAME(S)",NA,2,5
"24","NOTES","  Features include 1) a fruitbody that is 2-6cm broad, with a bald surface that becomes cracked over the upper surface, the outer and inner layers adherent together and forming a leathery spore case that opens widely by radial tears across the upper part, 2) a spore mass that is dark sepia when mature, as well as powdery, and is soon entirely dispersed, 3) absent or rudimentary stem base, 4) growth on pastures and waste land, 5) large, round reticulate spores, and 6) capillitial threads that are unbranched, breaking into short undulating pieces.^ Because the description given here from Smith(4) is short on detail, a redescription of the type by Zeller and some details of general characters of the genus are also included from Miller(12). RANGE Abstoma townei is found in CA, CO, and ID, (Smith(4)). The New York Botanical Garden herbarium has collections from OR, AZ, CA, the OR specimen collected by Zeller and determined by A.H. Smith and N.S. Weber. The University of Michigan has many collections from ID.",2,6
"25","CHEMICAL REACTIONS",NA,2,7
"26","OUTER SURFACE","  2-6cm broad, 2-3.5cm high, bald, becoming rimose [cracked] over upper surface, ""outer layer adherent to inner layer and both together forming a leathery spore case opening widely by radial tears across the upper part""^, (Smith), drying 2.5cm across and 3cm high, nearly spherical, ""universal veil dull drab, flocculent, breaking up as in Amanitas"", leaving small flecks and patches over the surface of the ectoperidium [outer layer] which otherwise is smooth, very slightly viscid, Sanford's brown (Ridgway) to slightly lighter, thin, brittle, breaking away as in Bovista, (Zeller(3)), in this genus endoperidium [outer layer] is a thick, firm, dull purple sand case that breaks away to reveal a thin endoperidium [inner layer], (Miller)",2,8
"27","INNER LAYER","  thin, whitish, (Zeller(3)), in this genus endoperidium [inner layer] is membranous, purple-black, without a pore but splitting irregularly at the top, (Miller)",2,9
"28","SPORE MASS","  powdery, soon entirely dispersed; dark sepia when mature^, (Smith), ""with tints of yellow and purplish when young, firm and compact though pulverulent"" [powdery], (Zeller(3))",2,10
"29","STEM","  sterile base absent or rudimentary^ (Smith)",2,11
"30","ODOR",NA,2,12
"31","TASTE",NA,2,13
"32","EDIBILITY",NA,2,14
"33","HABITAT","  on soil in pastures and waste land^, (Smith), the Oregon specimen in dried creek bottom or draw, on decomposed granite soil, (NYBG)",2,15
"34","SPORE DEPOSIT",NA,2,16
"35","MICROSCOPIC","  spores 7.5-12.5 x 7.5-12.5 microns, round, deeply verrucose, purplish brown, pedicellate^; capillitium thin-walled, tinged slightly yellowish, (Zeller(3)), spores reticulately ornamented, dark umber brown in KOH, capillitial threads unbranched, breaking into short undulating pieces, walls 0.4-1.0 microns thick, smooth, (Smith), in this genus spores deeply reticulate (Miller)",2,17
"36","NAME ORIGIN","  after Stuart S. Towne, who collected the type",2,18
"37","SIMILAR","  The New York Botanical Garden (NYBG) has collections of Abstoma verrucisporum from California, and Abstoma longii from New Mexico.",3,1
"38","SOURCES","  Zeller(3), Zeller(5), Smith(4), NYBG(1) (accessed Sep. 25, 2004), http://herbarium.lsa.umich.edu accessed October 9, 2004, Miller(12)",3,2
"39","MUSHROOM_ID","3",3,3
"40","FAMILY","  Diplocystidiaceae, Order Boletales, Class Agaricomycetes, Phylum Basidiomycota",3,4
"41","LATIN NAME(S)","  Astraeus hygrometricus  (Pers.) Morgan^  J. Cincinnati Soc. Nat. Hist. 12: 20. 1889  group",3,5
"42","ENGLISH NAME(S)","  barometer earthstar, water-measure earthstar, hygroscopic earthstar, barometer earthstar",3,6
"43","NOTES","  {See also Earthstars Table.} Astraeus hygrometricus group represents a hygroscopic earthstar that closes in dry weather but opens in wet weather so that the star-like pointed rays of the outer layer curl out and underneath the spore case. Features include 6-15 rays, papery whitish to grayish or brownish spore case that ruptures through a poorly defined apical pore or slit, a spore mass that is white at first, brown to cocoa brown when mature, sometimes black rhizomorphs, and round finely warted spores.^ Phosri(1) recognized that several species have been known under this name and as a result of molecular study described 3 new species, Astraeus morganii (similar to Astraeus pteridis), Astraeus telleriae (from Europe), and Astraeus smithii Watling, M.P. Martin & Phosri. Astraeus smithii was confirmed by molecular methods from Michigan and Wisconsin and could be the correct name for the Pacific Northwest species usually called Astraeus hygrometricus [our conclusion]. The distribution is given as central and northern United States. Phosri(1) say it is ""characterised by the inner peridium at maturity becoming matted-fibrillose to reticulate, the dark almost blackish rhizoids, and its unique ITS nrDNA"". The description is included below. A. Ceska says that he once heard a radio interview with a Czech amateur mycologist reporting the blue color of Astraeus hygrometricus lasting for about three hours after opening of the fruiting body. RANGE Astraeus 'hygrometricus' sensu auct. mult. found at least in BC (in Redhead(5)), OR (Zeller(2)), AZ, CA, and worldwide in distribution, (Arora), known throughout the United States, and previously reported from AZ, CA, CO, CT, FL, GA, IL, MD, MA, MI, MN, NM, NY, PA, SC, TN, TX, WA, Australia, Canada, Europe, India, Mexico and United Kingdom, (Bates), Oregon State University has collections from OR, AZ, CA, MD, OH, Japan. The Pacific Forestry Centre has collections from BC, and the University of British Columbia has collections from FL, MI, NM, and Japan. Not all of these records would correspond to the Pacific Northwest species.",3,7
"44","CHEMICAL REACTIONS",NA,3,8
"45","OUTER SURFACE","  1-5(8)cm across when fully expanded, round to flattened when young, the outer wall splitting when mature into 6-15 pointed rays, the rays ""hygroscopic (unfolding in wet weather and closing up over the spore case in dry weather), often unequal in length, tough and leathery when moist, hard when dry""; underside (exterior) fibrillose, usually with adhering sand and sometimes with black hair-like threads (rhizomorphs) at base; upper surface (interior of rays) at first smooth, but often developing numerous cracks; pale tan darkening to brown, gray, or blackish brown^, (Arora), 7-15 rays 2.5-5cm long, (Phillips), 1.0-2.0(3.0)cm, almost spherical or slightly ellipsoid, splitting into 7-15 rays; outer peridium ""distinctly layered, surface matted-fibrillose and intermixed or embedded with sand particles, overlying a thin, fugacious layer, which breaks up, although hard when dry, seated on a fibrous-rimose innermost and exposed layer""; ""with dark almost blackish rhizoids some of which persist at the base"", (Phosri(1) for A. smithii)",3,9
"46","INNER LAYER","  spore case 0.5-3cm across, round or somewhat flattened, thin, papery; whitish to grayish or brownish; roughened by particles (and / or finely reticulate [netted]); rupturing when mature through an irregular or poorly defined apical pore or slit ^, (Arora), felty (Phillips), felted or netted with fibrous lines, (McKnight), ""pale colored, papery-thin, the surface at maturity matted-fibrillose to reticulate, opening by a single tear"", (Phosri(1) for A. smithii)",3,10
"47","SPORE MASS","  brown to cocoa brown and powdery when mature^, (Arora), pure white becoming brown when old, (Phillips), white when young, becoming cocoa-color when mature, (Phosri(1) for A. smithii)",3,11
"48","STEM","  none",3,12
"49","ODOR","  negligible^ (Lincoff(1))",3,13
"50","TASTE","  negligible^ (Lincoff(1))",3,14
"51","EDIBILITY","  inedible (tough), (Arora)",3,15
"52","HABITAT","  single, scattered, or gregarious ""in old fields, sand or sandy soil, pastures, roadsides, waste places, etc.""^, (Arora), almost any habitat from sandy dunes to high mountains, September to November, but sometimes keeps it shape and condition for a year or more, (Phillips), on ""soil surface margins of woodland, open areas"" (Phosri(1) for A. smithii)",3,16
"53","SPORE DEPOSIT",NA,3,17
"54","MICROSCOPIC","  spores 7-11 x 7-11 microns, round, finely warted^, (Arora), capillitium very thick-walled, aseptate, branched, smooth or encrusted, (McKnight), spores 7.5-12.5 microns, round with a colorless sheath ""overlying thickened warty layer composed of pegs""; capillitium ""buff to pale brown, encrusted, thick-walled, highly branched hyphal elements"", (Phosri(1) for A. smithii)",3,18
"55","NAME ORIGIN","  from Greek, meaning ""which measures humidity"", because of changing shape with moisture^, (Lincoff(1))",4,1
"56","SIMILAR","  {See also Earthstars Table.} Astraeus pteridis is larger, ruptures irregularly, and has ""thick rays that are frequently checkered like a crooked crossword puzzle"", (Arora). A. pteridis is 10-15cm across when open, with the outer surface of the rays having brown fibrils, whereas A. hygrometricus is 1-4cm across when open, often with black rhizomorphs at the base, (Ramsey). Several hygroscopic Geastrum species have a prominently grooved apical pore or spores less than 7.5 microns in diameter, (Arora). Geastrum floriforme is hygroscopic but has a small (up to 1.5cm across) smoother spore case and smaller spores, (Arora). Geastrum recolligens is hygroscopic but is smaller with smaller spores.",4,2
"57","SOURCES","  Arora(1)*, Phosri(1), Phillips(1)*, Lincoff(1)*, Miller(14)*, Redhead(5), Lincoff(2)*, McKnight(1)*, Ramsey(1), Zeller(2), Bates(1)*, AroraPocket*, Desjardin(6)*, Siegel(2)*",4,3
"58","MUSHROOM_ID","4",4,4
"59","FAMILY","  Diplocystidiaceae, Order Boletales, Class Agaricomycetes, Phylum Basidiomycota",4,5
"60","LATIN NAME(S)","  Astraeus pteridis  (Shear) Zeller^  Mycologia 40(6): 654. 1948;  Scleroderma pteridis  Shear",4,6
"61","ENGLISH NAME(S)","  bracken earthstar, giant hygroscopic earthstar",4,7
"62","NOTES","  {See also Earthstars Table.} Astraeus pteridis is a hygroscopic earthstar that closes in dry weather but opens in wet weather so that the star-like pointed rays of the outer layer curl out and underneath the spore case. Features include 1) large size, 2) 6 or more thick rays that open out with a conspicuous pattern on the upper surface of straight or curved dark lines crossing more or less at right angles to form light-colored polygons, 3) grayish brown to brown spore case that is at first roughened, veined or fibrillose, and that ruptures irregularly, 4) spore mass that is dark brown and powdery when mature, and 5) round finely warted spores.^ The description is derived from Arora(1). RANGE A. pteridis is found in the Pacific Northwest (McKnight). It is found in CA, and is known only from western North America, (Arora). Oregon State University has collections from WA and OR.",4,8
"63","CHEMICAL REACTIONS",NA,4,9
"64","OUTER SURFACE","  ""round or somewhat flattened when young, the outer wall then splitting into 6 or more rays"", 5-15cm or more across when fully expanded, rays ""hygroscopic (unfolding in wet weather, closing up over the spore case in dry weather)"", thick (0.3-0.6cm), ""tough and leathery becoming hard or woody when dry""; ""exterior (underside) with a thin coating of matted brownish fibrils which may or may not wear away"", interior (upper surface) ""often conspicuously cracked or fissured transversely to form a checked pattern, tan when fresh (but dark brown in the cracks)"", [the checked pattern also described as ""checkered like a crooked crossword""], darker overall when old (but sometimes whitened when weathered)",4,10
"65","INNER LAYER","  spores case 2.5-5cm across, round or somewhat flattened; grayish brown to brown; at first roughened, veined, or fibrillose, but soon smooth or merely roughened; rupturing irregularly when old (not forming a distinct pore)",4,11
"66","SPORE MASS","  dark brown and powdery when mature",4,12
"67","STEM","  none",4,13
"68","ODOR",NA,4,14
"69","TASTE",NA,4,15
"70","EDIBILITY","  inedible (too leathery or woody), (Arora)",4,16
"71","HABITAT","  single, widely scattered, or in groups ""on ground, usually along roads, railroad tracks, in waste places, old fields, etc., but sometimes in woods""^, (Arora)",4,17
"72","SPORE DEPOSIT",NA,4,18
"73","MICROSCOPIC","  spores 8-12 x 8-12 microns, round, warted",5,1
"74","NAME ORIGIN",NA,5,2
"75","SIMILAR","  {See also Earthstars Table.} Astraeus hygrometricus is smaller, and lacks the distinctive checkered pattern on the inside of the rays, (Arora). A. hygrometricus is 1-4cm across when open, often with black rhizomorphs at base, whereas A. pteridis is 10-15cm across when open, with the outer surface of the rays having brown fibrils (Ramsey). Geastrum floriforme and Geastrum recolligens are hygroscopic but are smaller with smaller spores. Astraeus morganii Phosri, Watling & M.P. Martin was described from a dry area in Colorado and also found in Mexico and Wisconsin. It is smaller than A. pteridis (expanding to 5.0-7.6cm) and has larger spores (7.5-10 microns in diameter, round, and minutely warted). See also SIMILAR section of Astraeus hygrometricus group.",5,3
"76","SOURCES","  Arora(1)*, Ramsey(1), McKnight(1)",5,4
"77","MUSHROOM_ID","5",5,5
"78","FAMILY","  Agaricaceae, Order Agaricales, Class Agaricomycetes, Phylum Basidiomycota",5,6
"79","LATIN NAME(S)","  Battarrea phalloides  (Dicks.: Pers.) Pers.^  Syn. meth. fung.: xiv, 129. 101 group;  Battarrea stevenii  (Libosch.) Fr.",5,7
"80","ENGLISH NAME(S)","  desert drumstick, flatcap stalked puffball, scaly-stalked puffball, sandy stiltball",5,8
"81","NOTES","  Battarrea phalloides develops deep underground, enclosed by volva that is broken as the long shaggy stem elongates, leaving a sac-like volva on base, and bearing the whitish spore case aloft where it ruptures peripherally. The top falls off, and the lower half (concave downward), is covered with a rusty brown sticky-powdery spore mass that is gradually dispersed. It grows in arid areas after rains. Spores are round and warted, and there is capillitium of two types: simple short hyphae, and elongated cells with internal spirals.^ Miller(14) differentiates Battarrea stevenii by saying that Battarrea phalloides is reputed to have a gelatinous tissue in the volva (Miller(14)), but there is molecular evidence of the synonymy of B. stevenii with B. phalloides, (Martin, M.P.). The online Species Fungorum, accessed February 7, 2017, gave the current name of B. stevenii as B. phalloides but MycoBank, accessed the same day, gave the current name of B. stevenii as B. stevenii. Siegel(2) say that recent genetic studies have shown that several species go by the name Battarrea phalloides. RANGE B. phalloides occurs worldwide but it is rare. It has been reported from BC, YT, AZ, and Australia, (Schalkwijk-Barendsen), ID (Smith), AK, and CA, (Arora), Mexico (Esqueda(1)), and Austria, France, Hungary, Italy, Spain, and Burundi, (Martin, M.P.). Oregon State University has a collection from OR, and the Pacific Forestry Centre has collections from BC. It also occurs in WA (M. Beug, pers. comm.), and the Owyhee region of both OR and ID (Trueblood(1)). The National Mycological Herbarium in Ottawa has collections from AB.",5,9
"82","CHEMICAL REACTIONS",NA,5,10
"83","OUTER SURFACE","  at first underground, completely closed by outer membrane that ruptures around the periphery as the stem elongates, leaving a volva at the base of the stem and a spore case on top of the stem, (sometimes with a volval patch on top); spore case 3-5(6)cm across, 1-3.5cm high, typically convex on top, with a flat or even depressed underside that sometimes resembles a veil, surface of spore case ""smooth, pallid or whitish, soon splitting around its lower periphery so that the upper (rounded) portion falls off, thereby exposing the spore mass"", the lower part remaining intact as a disc under the spore mass and sometimes persisting (after spore mass has dispersed) as a disc-like cap or sliding down the stem to form a ring^, (Arora), spore case 2-3cm high, up to 6cm wide, at first consisting of 2 membranes, the outer flaking off and the inner separating circumscissilely or through numerous pores, so that the top part falls off as a lid or calyptra, (Smith), papery to tough spore case opens all around margin leaving 2 bowl-shaped halves, the upper half falling away, leaving powdery spore mass on lower (everted) half, (McKnight), young specimens develop 15-20cm deep (Schalkwijk-Barendsen)",5,11
"84","INNER LAYER",NA,5,12
